image,text,split
1.png,"Tôi hứa sẽ nghiêm túc chấp hành thực hiện mọi sự phân công BC phòng chống dịch, BTV đến xã tổ trực gạo kiểm soát chặt Tôi xin chân Thành Cảm ơn!",train
10.png,01696919061 Hà ninh ngày 16-6-2017 Người viết đơn Tâm Nguyễn Văn Tâm,train
11.png,Nguyễn Phú Trọng Hà Nội ngày 25-1-2019 ( tức ngày 20 tháng chạp ),train
12.png,Phần sức lực để chung tay cùng các lực lượng tham gia chống dịch. Vì vậy tôi viết đơn này mong muốn được hỗ trợ chút sức lực tham gia phòng chống dịch trên địa bàn xã Thông Bình,train
13.png,Kính thưa Cô giáo Đặng Thị Phúc. Nhân dịp chuẩn bị đón Tết cổ truyền của Dân tộc - xuân Kỷ Hợi 2019 - em xin có mấy lời kính thăm cô và gia đình,train
14.png,"Kính chúc Thầy Cô sang năm mới sức khỏe, trường thọ  ; chúc toàn thể gia đình an khang  , mọi việc hanh thông , tốt đẹp , có nhiều niềm vui mới.",train
15.png,Học trò của Cô,train
16.png,"Em vẫn giữ mãi những kỷ niệm sâu sắc, không bao giờ phai mờ trong những năm tháng được Cô dạy bảo.",train
17.png,Họ tên: là Nguyễn Văn Lương 90 tuổi Ba: Dương Thị Hoa 90 tuổi,train
18.png,chị gái chúng tôi làm đơn xin ra khỏi hộ nghèo năm 2020. Để chuyển lại cho Hộ Khá [...],train
19.png,"nội dung tố cáo như sau , năm 2016 nhà nước hỗ trợ về nông nghiệp cho xã",train
2.png,"Tôi hứa sẽ nghiêm túc chấp hành thực hiện mọi sự phân công BC phòng chống dịch, BTV đến xã tổ trực gạo kiểm soát chặt Tôi xin chân Thành Cảm ơn!",train
20.png,Cộng hòa xã hội chủ nghĩa Việt Nam Độc lập - Tự do - Hạnh phúc Đơn xin ra khỏi hộ nghèo Kính gửi: Ban chỉ huy thôn Liên Hương và UBND xã Thạch Đài,train
21.png,"Cảm ơn: Khoa hồi sức tích cực
Bệnh nhân: Trần Văn Mùi
Và gia đình xin cảm ơn các bác sỹ
và điều dưỡng đã cứu ông qua cơn
nguy hiểm. Gia đình không biết nói
gì hơn. Nhân ngày 27/2 ngày thầy
thuốc Việt Nam chúc toàn thể khoa
mạnh khỏe và gia đình hạnh phúc.

Bệnh nhân
Trần V. Mùi",train
22.png,"Kính gửi: - BCĐ phòng chống dịch COVID
xã Thới Bình
- BCĐ thôn xã Thới Bình
Tô: Tên là: Lê Đình Phượng | SĐT: 0878705666
Sinh ngày: 03/4 12001",train
23.png,"Sáng nay vừa mới ăn xôi anh vừa ngong ngóng ra cửa chờ em, trong lo lo lo vì sợ em đã vào trường mất thi ở luyện trước, trưa nay đến em đi vào mất thi xong! Anh vội đi nấu cho em ăn ngoan giờ mới toại",train
24.webp,"Chúc mừng ngày Thầy Thuốc Việt Nam.
ngày hai bảy tháng hai
ngày Thầy Thuốc Việt Nam
Lòng trong sáng vô vàn
ơn bó hoa dâng kính
bao tình cảm lưu luyến
Bác sỹ với bệnh nhân
bao lời nói ân tình
trong những ngày điều trị
lời Bác sỹ truyền lại
êm như tiếng mẹ ru
ơn nghĩa này bệnh nhân
xin khắc sâu trong dạ
xin cảm ơn tất cả
cán bộ và nhân viên
khoa y học cổ truyền
đã dày công chăm sóc
để bệnh nhân xương khớp
sớm mau chóng trở về
nơi chốn cũ miền quê
sống vui cùng con cháu.

Bệnh nhân phòng số 1

Kính chúc cán bộ y bác sỹ luôn mạnh khỏe, hạnh phúc
thành đạt trong cuộc sống.",train
25.png,Đây là niềm vinh hạnh to lớn đối với bản thân tôi,train
3.png,"vậy tôi làm đơn này để gửi các cấp có thẩm quyền xem set giải quyết , theo pháp luật của nhà nước , để đem lại lòng tin cho nhân dân
Tôi xin cảm ơn",train
4.png,"mặc dầu vợ chồng chúng tôi tuổi đã già sức khỏe yếu , bệnh tật liên miên .Nhưng nay nhờ con cháu nuôi dường đến nới , đến chốn:
Vậy ! vợ chồng chúng tôi làm đơn và xin ra khỏi",train
5.png,"Vậy, vợ chồng chị tôi làm đơn xin ra khỏi hộ nghèo: Rất mong các cấp chính quyền tôi xin chân thành cảm ơn",train
7.png,Cộng hòa xã hội chủ nghĩa Việt Nam Độc lập Tự do Hạnh phúc ĐƠN TỐ CÁO Kính gửi: chủ tịch UBND huyện Thạch Hà,train
8.png,"Tôi là: Nguyễn Văn Tâm sinh năm 1942. Quê quán: Thôn 1 xã Thạch Đài, huyện Thạch Hà, tỉnh Hà Tĩnh Tôi xin tố cáo: 1, Ông Lê Văn Thanh chủ nhiệm HTX Dịch vụ nông nghiệp xã Thạch Đài 2, một số cán bộ chủ chốt các UBND xã Thạch Đài",train
9.png,"Và một số người đi làm ăn xa lâu năm
Việc làm của một nhóm người như vậy tôi thấy
rất bất bình , nhất là đối với một số cán bộ
chủ chốt của UBND xã , không thể chấp nhận được",train
vi-handwriting-sample-1.png,"Cuộc đời làm công ty phải trải qua
vài ba lần ""nhảy việc"" để hiểu rằng:
""Ở đâu cũng cực như nhau, ở đâu
cũng đầy áp lực và mệt mỏi cả,
cái giá của việc kiếm tiền chưa
bao giờ là rẻ cả""

""Nhảy việc"" vài lần để nhận ra:
""Muốn hết cực thì NGHỈ VIỆC""

YAN",train
vi-handwriting-sample-2.png,"1. Khám nội tổng quát          (150.000 VNĐ)
2. Chụp Xquang                 (150.000 VNĐ)
3. Siêu âm ổ bụng              (300.000 VNĐ)
4. Siêu âm tuyến giáp          (250.000 VNĐ)
5. Xét nghiệm (12 danh mục)    (980.000 VNĐ)

Tổng = 1.830.000 VNĐ

=> Phương Đông đang giảm còn [980K]",train
